Compositor,Obra,Año,Duración,Género y efectivo,Estreno,Edición discográfica,Notas,Grabación 1
"Abalo, Juan Pablo (1978)",El Milagro del Insectario,2004,12'05,Mixta. Dos violines y electrónica.,"Marzo 2005, Instituto Goethe. Santiago, Chile.","""Música de Cámara Electroacústica"". Fondart CD 2004.",,JPA_01 CD01
"Albornoz, Alejandro (1971)",Eeeh…jercicio,2005,2'54,Electrónica sobre soporte.,,,,AA05_01 CD01
"Alcalde, Andrés (1952)",Añoranza,1977,,Mixta. Oboe y electrónica sobre soporte.,,,,
"Alvarado, Boris (1962)",Shu-Shu,,5'30,Electrónica sobre soporte.,,"""Música Electroacústica en el GEMA 2000"". SVR-GEMA-3006-13. CD.",,BA_01 CD01
"Alvarez, Pedro (1980)",Tripali,2004,11'15,Mixta. Soprano viola y electrónica.,"Marzo 2005, Instituto Goethe. Santiago, Chile.","""Música de Cámara Electroacústica"". Fondart CD 2005.",,PA04_01 CD01
,Bahari II,2004,,"Mixta. Flauta, clarinete bajo, viola, cello y live electronics","Noviembre 2004. XIV Festival de música contemporánea de la Universidad Católica. Santiago, Chile.",,,
"Amenábar, Juan (1922-1999)",Los Peces,1957,3'03,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA57_01 CD01
,Feed Back,1964,,Mixta. Violin y electrónica sobre soporte.,"1984. Jornadas Mundiales de la SIMC. Toronto, Canadá. Sergio Polizzi, violin.",,Encargada por Pedro D'Andurian.,
,Klésis,1968,18'19,Electrónica sobre soporte.,,"""Música Electrónica"". Sello Asfona/ Astral VBPS-239. LP 1968. ""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA68_02 CD01
,Música Contínua,1969,,,,,,
,Preludio en High Key,1970,,Electrónica sobre soporte.,,,,
,Sueño de un niño,1970,4'50,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA70_03 CD01
,Amacatá,1972,8'55,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA72_04 CD02
,Ludus Vocalis,1973,6'30,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA73_05 CD02
,"Contratempo, senzatempo",1976,16'18,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA76_06 CD02
,Juegos,1976,5'42,Electrónica sobre soporte.,,"""Juan Amenábar, Compositor Chileno"". SVR Producciones ABA-SVR900000-4. CD 1999.",,JA76_07 CD02
,Cántiga en el Umbral,1997,,Electrónica sobre soporte.,,,,
"Ancarola, Francesca (1971)",A,1991,,Electrónica sobre soporte.,,,"Ganadora de la categoría ""Residencias"" del Concurso internacional de Bourges.",
,Loop,1992,,Electrónica sobre soporte. (?),,,,
,Música para los ojos,1985,,Multimedia.,"Octubre de 1985, Festival Anacrusa. Santiago, Chile.",,Con video de pInturas,
,Stratus,,6'16,Mixta. Guitarra y electrónica.,,"""Música de Concierto Chilena"" ICH-SVR-900000-3. CD 1999.","Luis Orlandini, guitarra",
,Fuego fatuo,,4',Electrónica sobre soporte.,"Julio 2000. Sala SCD, Santiago, Chile.",,"Obra realizada con el software ""Punto y Tono"", desarrollado por el autor.",
,Fuego fatuo II,,,Electrónica sobre soporte.,,,,
"Arriagada, Jorge (1943)",Concierto para violín y cinta,1969,,Mixta. Violín y electrónica sobre soporte.,,,,
,A4,1969,,Electrónica sobre soporte.,,,,
,Chile '70,1970,,"Mixta. Octeto de cuerdas, solista (quena, charango, guitarra) y electrónica sobre soporte.",,,,
,Cuatro momentos musicales,1970,,Electrónica sobre soporte.,,,,
,Etude,1972,9'15,Electrónica sobre soporte.,,,,
,Indio (Solstice d'hiver des saisons),1972,13',Electrónica sobre soporte.,,,"Encargo del GMEB para la obra colectiva ""Les saisons"" y para los Juegos Olimpicos de Munich, 1973.",
,Arena y mas allá,1974,10',Electrónica sobre soporte.,,,,
,Chile '73,1974,,Electrónica sobre soporte.,,,"Compueta en el estudio electroacústico de Gandt, Bélgica.",
"Asuar, Jose Vicente (1933)",Dúo Concreto,1957,,Electrónica sobre soporte.,,,Obra descatalogada por el autor.,
,Variaciones Espectrales,1959,12'48,Electrónica sobre soporte.,"Junio 1959. XVIII Temporada de Cámara del Instituto de Extensión Musical de la Universidad de Chile. Teatro Antonio Varas. Santiago, Chile.",,"Fué utilizada como música incidental del Ballet ""Germinal"". Coreografía de de German Silva. Estrenada en Mayo 1964 por el Ballet de Arte Moderno. Teatro Municipal. Santiago, 1964.",JVA59_01 CD02
,Preludio La Noche,1961,3',Electrónica sobre soporte.,,,"Compuesta en el estudio de la Technische Horschule en Karlsruhe, Alemania. Fue utilizada como música incidental del Ballet ""Germinal"". Coreografía de de German Silva. Estrenada en Mayo 1964 por el Ballet de Arte Moderno. Teatro Municipal. Santiago, 1964.",
,Serenata para mi voz y sonidos sinusoidales,1961,8',Electrónica sobre soporte.,,,"Obra inconclusa descatalogada por el autor. Compuesta en el estudio de la Technische Horschule en Karlsruhe, Alemania.",
,Estudio Aleatorio,1967,6',Electrónica sobre soporte.,,,"Obra inconclusa descatalogada por el autor. Compuesta en el estudio de la Technische Horschule en Karlsruhe, Alemania.",
